Year,Type,Pubs
1992,Total,2
1993,Total,1
1994,Total,1
1995,Total,1
1996,Total,1
1997,Total,0
1998,Total,1
1999,Total,3
2000,Total,2
2001,Total,1
2002,Total,6
2003,Total,4
2004,Total,3
2005,Total,3
2006,Total,2
2007,Total,1
2008,Total,1
2009,Total,2
2010,Total,3
2011,Total,5
2012,Total,1
2013,Total,6
2014,Total,7
2015,Total,6
2016,Total,4
2017,Total,5
2018,Total,7
2019,Total,4
2020,Total,4
2021,Total,4
2022,Total,0
1992,"29,30N2",0
1993,"29,30N2",0
1994,"29,30N2",0
1995,"29,30N2",0
1996,"29,30N2",1
1997,"29,30N2",0
1998,"29,30N2",0
1999,"29,30N2",0
2000,"29,30N2",0
2001,"29,30N2",1
2002,"29,30N2",1
2003,"29,30N2",1
2004,"29,30N2",0
2005,"29,30N2",0
2006,"29,30N2",1
2007,"29,30N2",0
2008,"29,30N2",1
2009,"29,30N2",0
2010,"29,30N2",1
2011,"29,30N2",1
2012,"29,30N2",1
2013,"29,30N2",3
2014,"29,30N2",2
2015,"29,30N2",1
2016,"29,30N2",2
2017,"29,30N2",2
2018,"29,30N2",2
2019,"29,30N2",1
2020,"29,30N2",0
2021,"29,30N2",3
2022,"29,30N2",0
