Year,Citations
1992,1
1993,1
1994,11
1995,20
1996,15
1997,20
1998,15
1999,15
2000,15
2001,14
2002,33
2003,32
2004,39
2005,64
2006,84
2007,89
2008,149
2009,123
2010,117
2011,135
2012,186
2013,203
2014,212
2015,183
2016,241
2017,235
2018,291
2019,298
2020,318
2021,346
2022,224
1992,1
1993,1
1994,11
1995,20
1996,15
1997,20
1998,15
1999,15
2000,15
2001,14
2002,33
2003,32
2004,39
2005,64
2006,84
2007,89
2008,149
2009,123
2010,117
2011,135
2012,186
2013,203
2014,212
2015,183
2016,241
2017,235
2018,291
2019,298
2020,318
2021,346
2022,224
